N1,N2,N3,N4,N5,N6,N7,N8,N9,M1,M2,M3,,,,,,,,,
0.1781,0.1271,8.4787377309,2.1357683707,10.1435503406,0.5486261147,15.6001,11.7001,0.7894456774,RAISE,HOLD,RAISE,,,,,,,,,
0.1781,0.1281,9.0649259625,1.6648126097,10.1435503406,0.7939753999,16.0001,12.0001,0.8358747624,RAISE,HOLD,RAISE,,,,,,,,,
0.1781,0.1291,10.0100786446,1.0786243781,10.1435503406,1.0890025592,16.4001,12.3001,0.8936640188,RAISE,HOLD,RAISE,,,,,,,,,
0.1781,0.1301,2.0826238126,0.133471696,10.1435503406,1.8560824042,16.8001,12.6001,0.986841718,HOLD,STOP,HOLD,,,,,,,,,
0.0001,0.1301,3.0622060327,8.060926528,10.1435503406,3.1206973078,16.8001,12.6001,0.2053150763,RAISE,HOLD,RAISE,,,,,,,,,
0.0001,0.1311,3.7242050332,7.0813443079,10.1435503406,0.0759765276,17.2001,12.9001,0.301887005,RAISE,RAISE,RAISE,,,,,,,,,
0.0201,0.1321,4.5307070864,6.4193453074,10.1435503406,0.1051835604,17.6001,13.2001,0.3671500518,RAISE,RAISE,RAISE,,,,,,,,,
0.0401,0.1331,5.3341358496,5.6128432542,10.1435503406,0.1411579178,18.0001,13.5001,0.4466589048,RAISE,RAISE,RAISE,,,,,,,,,
0.0601,0.1341,6.3339057421,4.809414491,10.1435503406,0.1900689404,18.4001,13.8001,0.5258647782,RAISE,RAISE,RAISE,,,,,,,,,
0.0801,0.1351,6.4398632231,3.8096445985,10.1435503406,0.2633961267,18.8001,14.1001,0.6244269047,RAISE,RAISE,RAISE,,,,,,,,,
0.1001,0.1361,6.6635607313,3.7036871175,10.1435503406,0.3380820996,19.2001,14.4001,0.634872703,RAISE,RAISE,RAISE,,,,,,,,,
0.1201,0.1371,6.6641069797,3.4799896093,10.1435503406,0.3598338909,19.6001,14.7001,0.6569258798,RAISE,RAISE,RAISE,,,,,,,,,
0.1401,0.1381,7.627721963,3.4794433609,10.1435503406,0.3829957976,20.0001,15.0001,0.6569797315,RAISE,RAISE,RAISE,,,,,,,,,
0.1601,0.1391,7.7937662046,2.5158283776,10.1435503406,0.4384449564,20.4001,15.3001,0.7519775332,RAISE,RAISE,RAISE,,,,,,,,,
0.1801,0.1401,8.2668839229,2.349784136,10.1435503406,0.6195785272,20.8001,15.6001,0.7683469735,RAISE,RAISE,RAISE,,,,,,,,,
0.2001,0.1411,8.341774768,1.8766664177,10.1435503406,0.7036292225,21.2001,15.9001,0.8149891946,RAISE,RAISE,RAISE,,,,,,,,,
0.2201,0.1421,8.675512659,1.8017755726,10.1435503406,0.8889992051,21.6001,16.2001,0.8223722945,RAISE,HOLD,RAISE,,,,,,,,,
0.2201,0.1431,9.4868538932,1.4680376816,10.1435503406,0.9629959237,22.0001,16.5001,0.8552737816,RAISE,LOWER,RAISE,,,,,,,,,
0.2191,0.1441,9.4776873467,0.6566964474,10.1435503406,1.2924537308,22.4001,16.8001,0.9352597044,RAISE,LOWER,RAISE,,,,,,,,,
0.2181,0.1451,3.9778446429,0.6658629939,10.1435503406,2.8864743775,22.8001,17.1001,0.9343560221,RAISE,LOWER,RAISE,,,,,,,,,
0.2171,0.1461,4.4861514265,6.1657056977,10.1435503406,1.1947937276,23.2001,17.4001,0.392155065,RAISE,LOWER,RAISE,,,,,,,,,
0.2161,0.1471,5.4447250681,5.6573989141,10.1435503406,0.1455194797,23.6001,17.7001,0.4422663935,RAISE,HOLD,RAISE,,,,,,,,,
0.2161,0.1481,5.5154156855,4.6988252725,10.1435503406,0.192481568,24.0001,18.0001,0.5367671954,RAISE,HOLD,RAISE,,,,,,,,,
0.2161,0.1491,6.3487935468,4.6281346551,10.1435503406,0.2347572155,24.4001,18.3001,0.5437362166,RAISE,HOLD,RAISE,,,,,,,,,
0.2161,0.1501,6.8839001841,3.7947567938,10.1435503406,0.2743564749,24.8001,18.6001,0.6258946161,RAISE,HOLD,RAISE,,,,,,,,,
0.2161,0.1511,7.5273869855,3.2596501565,10.1435503406,0.3628111396,25.2001,18.9001,0.6786480032,RAISE,HOLD,RAISE,,,,,,,,,
0.2161,0.1521,8.0765114422,2.6161633551,10.1435503406,0.4618524458,25.6001,19.2001,0.7420860283,RAISE,HOLD,RAISE,,,,,,,,,
0.2161,0.1531,9.0245391863,2.0670388984,10.1435503406,0.6174317385,26.0001,19.5001,0.7962213595,RAISE,HOLD,RAISE,,,,,,,,,
0.2161,0.1541,9.3594892001,1.1190111543,10.1435503406,0.8731852306,26.4001,19.8001,0.8896824961,RAISE,HOLD,RAISE,,,,,,,,,
0.2161,0.1551,7.4733336445,0.7840611405,10.1435503406,1.6728142815,26.8001,20.1001,0.9227034801,RAISE,HOLD,RAISE,,,,,,,,,
0.2161,0.1561,8.4681352765,2.6702166961,10.1435503406,1.9063139999,27.2001,20.4001,0.7367571899,RAISE,HOLD,RAISE,,,,,,,,,
0.2161,0.1571,9.1415886777,1.6754150641,10.1435503406,0.6342657724,27.6001,20.7001,0.8348295214,RAISE,HOLD,RAISE,,,,,,,,,
0.2161,0.1581,9.8406697113,1.0019616629,10.1435503406,1.0912625622,28.0001,21.0001,0.9012217982,RAISE,HOLD,RAISE,,,,,,,,,
0.2161,0.1591,2.1939818052,0.3028806293,10.1435503406,1.9642806857,28.4001,21.3001,0.9701405702,RAISE,HOLD,RAISE,,,,,,,,,
0.2161,0.1601,2.2444104204,7.9495685354,10.1435503406,1.4487435599,28.8001,21.6001,0.2162932831,RAISE,HOLD,RAISE,,,,,,,,,
0.2161,0.1611,2.3746393941,7.8991399202,10.1435503406,0.0564662198,29.2001,21.9001,0.2212647786,RAISE,HOLD,RAISE,,,,,,,,,
0.2161,0.1621,2.5590310172,7.7689109465,10.1435503406,0.0601239988,29.6001,22.2001,0.2341033775,RAISE,HOLD,RAISE,,,,,,,,,
0.2161,0.1631,2.8382423497,7.5845193234,10.1435503406,0.0658787579,30.0001,22.5001,0.2522815909,RAISE,HOLD,RAISE,,,,,,,,,
0.2161,0.1641,3.5681579029,7.3053079909,10.1435503406,0.0748430383,30.4001,22.8001,0.2798075875,RAISE,HOLD,RAISE,,,,,,,,,
0.2161,0.1651,4.3137178941,6.5753924377,10.1435503406,0.0976867206,30.8001,23.1001,0.3517661749,RAISE,HOLD,RAISE,,,,,,,,,
0.2161,0.1661,4.783999509,5.8298324465,10.1435503406,0.1312079221,31.2001,23.4001,0.4252670662,RAISE,HOLD,RAISE,,,,,,,,,
0.2161,0.1671,5.5982717408,5.3595508316,10.1435503406,0.1641213381,31.6001,23.7001,0.4716296906,RAISE,HOLD,RAISE,,,,,,,,,
0.2161,0.1681,5.7655206466,4.5452785998,10.1435503406,0.2089082431,32.0001,24.0001,0.5519045652,RAISE,RAISE,RAISE,,,,,,,,,
0.2361,0.1691,5.9969552783,4.378029694,10.1435503406,0.2536927284,32.4001,24.3001,0.5683927671,RAISE,RAISE,RAISE,,,,,,,,,
0.2561,0.1701,6.4324588395,4.1465950623,10.1435503406,0.2739568115,32.8001,24.6001,0.5912087067,RAISE,HOLD,RAISE,,,,,,,,,
0.2561,0.1711,6.9083050658,3.7110915011,10.1435503406,0.3102525683,33.2001,24.9001,0.6341427433,RAISE,LOWER,RAISE,,,,,,,,,
0.2551,0.1721,7.0026992993,3.2352452748,10.1435503406,0.3723058331,33.6001,25.2001,0.6810539539,RAISE,HOLD,RAISE,,,,,,,,,
0.2551,0.1731,7.9608637292,3.1408510413,10.1435503406,0.4329006739,34.0001,25.5001,0.6903597916,RAISE,HOLD,RAISE,,,,,,,,,
0.2551,0.1741,8.21018632,2.1826866114,10.1435503406,0.5069239913,34.4001,25.8001,0.7848202515,RAISE,HOLD,RAISE,,,,,,,,,
0.2551,0.1751,8.7526176078,1.9333640206,10.1435503406,0.7523009741,34.8001,26.1001,0.8093996721,RAISE,HOLD,RAISE,,,,,,,,,
0.2551,0.1761,9.3404173455,1.3909327328,10.1435503406,0.9054288292,35.2001,26.4001,0.8628751585,RAISE,HOLD,RAISE,,,,,,,,,
0.2551,0.1771,9.668932129,0.8031329951,10.1435503406,1.3430437181,35.6001,26.7001,0.9208232849,RAISE,HOLD,RAISE,,,,,,,,,
0.2551,0.1781,10.1789384074,0.4746182116,10.1435503406,2.4078034867,36.0001,27.0001,0.953209853,RAISE,HOLD,RAISE,,,,,,,,,
0.2551,0.1791,7.4607207958,-0.0353880668,10.1435503406,4.289316406,36.4001,27.3001,1.0034887259,HOLD,STOP,HOLD,,,,,,,,,
0.0001,0.1791,8.1788160956,2.6828295448,10.1435503406,-42.1651786051,36.4001,27.3001,0.7355137546,RAISE,HOLD,RAISE,,,,,,,,,
0.0001,0.1801,8.4227976805,1.964734245,10.1435503406,0.6097156721,36.8001,27.6001,0.8063070445,RAISE,RAISE,RAISE,,,,,,,,,
0.0201,0.1811,9.3186385364,1.7207526601,10.1435503406,0.8573981649,37.2001,27.9001,0.8303599231,RAISE,RAISE,RAISE,,,,,,,,,
0.0401,0.1821,9.8845842733,0.8249118042,10.1435503406,1.0830886684,37.6001,28.2001,0.9186762251,RAISE,RAISE,RAISE,,,,,,,,,
0.0601,0.1831,10.3311639676,0.2589660673,10.1435503406,2.3965190517,38.0001,28.5001,0.974469879,RAISE,RAISE,STOP,,,,,,,,,
0.0801,0.1841,9.0733492627,-0.187613627,10.1435503406,7.978778128,0.0001,0.0001,1.0184958541,HOLD,RAISE,HOLD,,,,,,,,,
0.1001,0.1841,9.1514317661,1.0702010779,10.1435503406,-9.67237765,0.0001,0.0001,0.8944944283,RAISE,RAISE,RAISE,,,,,,,,,
0.1201,0.1851,9.5074908898,0.9921185745,10.1435503406,1.7102266022,0.4001,0.3001,0.9021921772,RAISE,RAISE,RAISE,,,,,,,,,
0.1401,0.1861,9.793172768,0.6360594508,10.1435503406,1.9166037477,0.8001,0.6001,0.9372941988,RAISE,RAISE,RAISE,,,,,,,,,
0.1601,0.1871,4.9775158592,0.3503775726,10.1435503406,3.0793262345,1.2001,0.9001,0.965458093,RAISE,RAISE,RAISE,,,,,,,,,
0.1801,0.1881,5.1275914952,5.1660344814,10.1435503406,2.8412297182,1.6001,1.2001,0.4907074636,RAISE,RAISE,RAISE,,,,,,,,,
0.2001,0.1891,6.0640136692,5.0159588454,10.1435503406,0.1985117023,2.0001,1.5001,0.5055026419,RAISE,RAISE,RAISE,,,,,,,,,
0.2201,0.1901,6.9885214439,4.0795366714,10.1435503406,0.2417888127,2.4001,1.8001,0.5978196455,RAISE,RAISE,RAISE,,,,,,,,,
0.2401,0.1911,7.1074433786,3.1550288967,10.1435503406,0.3426134881,2.8001,2.1001,0.6889620704,RAISE,RAISE,RAISE,,,,,,,,,
0.2601,0.1921,7.5233497548,3.036106962,10.1435503406,0.4505469592,3.2001,2.4001,0.7006859669,RAISE,RAISE,RAISE,,,,,,,,,
0.2801,0.1931,7.8278803719,2.6202005857,10.1435503406,0.495591878,3.6001,2.7001,0.7416880187,RAISE,HOLD,RAISE,,,,,,,,,
0.2801,0.1941,8.3154804476,2.3156699687,10.1435503406,0.5975023755,4.0001,3.0001,0.7717101122,RAISE,HOLD,RAISE,,,,,,,,,
0.2801,0.1951,8.576158743,1.828069893,10.1435503406,0.7181921915,4.4001,3.3001,0.8197800739,RAISE,HOLD,RAISE,,,,,,,,,
0.2801,0.1961,8.6147683149,1.5673915976,10.1435503406,0.9382747099,4.8001,3.6001,0.8454789945,RAISE,HOLD,RAISE,,,,,,,,,
0.2801,0.1971,8.7020375059,1.5287820257,10.1435503406,1.0992490107,5.2001,3.9001,0.8492853119,RAISE,HOLD,RAISE,,,,,,,,,
0.2801,0.1981,9.6946682704,1.4415128347,10.1435503406,1.138427501,5.6001,4.2001,0.8578887287,RAISE,HOLD,RAISE,,,,,,,,,
0.2801,0.1991,4.4166132749,0.4488820701,10.1435503406,1.3450686025,6.0001,4.5001,0.9557470457,RAISE,HOLD,RAISE,,,,,,,,,
0.2801,0.2001,5.1349316884,5.7269370657,10.1435503406,1.9678278856,6.4001,4.8001,0.4354109879,RAISE,HOLD,RAISE,,,,,,,,,
0.2801,0.2011,6.1285717997,5.0086186522,10.1435503406,0.1793255847,6.8001,5.1001,0.5062262734,RAISE,HOLD,RAISE,,,,,,,,,
0.2801,0.2021,6.5275141893,4.0149785409,10.1435503406,0.2447210389,7.2001,5.4001,0.6041840967,RAISE,HOLD,RAISE,,,,,,,,,
0.2801,0.2031,7.1344267248,3.6160361513,10.1435503406,0.3251581109,7.6001,5.7001,0.643513757,RAISE,HOLD,RAISE,,,,,,,,,
0.2801,0.2041,7.5339363107,3.0091236158,10.1435503406,0.394599303,8.0001,6.0001,0.703346115,RAISE,HOLD,RAISE,,,,,,,,,
0.2801,0.2051,8.4449090093,2.6096140299,10.1435503406,0.5007395689,8.4001,6.3001,0.7427316923,RAISE,HOLD,RAISE,,,,,,,,,
0.2801,0.2061,9.3725772643,1.6986413313,10.1435503406,0.6472151753,8.8001,6.6001,0.8325397643,RAISE,HOLD,RAISE,,,,,,,,,
0.2801,0.2071,9.9949671458,0.7709730762,10.1435503406,1.103538115,9.2001,6.9001,0.9239937645,RAISE,HOLD,RAISE,,,,,,,,,
0.2801,0.2081,9.5335424845,0.1485831948,10.1435503406,2.5928187258,9.6001,7.2001,0.9853519537,HOLD,STOP,HOLD,,,,,,,,,
0.0001,0.2081,9.6218033319,0.6100078561,10.1435503406,12.8325985992,9.6001,7.2001,0.9398624904,RAISE,HOLD,RAISE,,,,,,,,,
0.0001,0.2091,8.3738899414,0.5217470087,10.1435503406,3.154648989,10.0001,7.5001,0.9485636694,RAISE,RAISE,RAISE,,,,,,,,,
0.0201,0.2101,8.5768921261,1.7696603992,10.1435503406,3.2099426739,10.4001,7.8001,0.8255383628,RAISE,RAISE,RAISE,,,,,,,,,
0.0401,0.2111,9.0427657622,1.5666582145,10.1435503406,0.9693263329,10.8001,8.1001,0.845551295,RAISE,RAISE,RAISE,,,,,,,,,
0.0601,0.2121,9.8528735435,1.1007845784,10.1435503406,1.1544018572,11.2001,8.4001,0.8914793596,RAISE,RAISE,RAISE,,,,,,,,,
0.0801,0.2131,5.514369695,0.2906767971,10.1435503406,1.7901547199,11.6001,8.7001,0.9713436827,RAISE,RAISE,STOP,,,,,,,,,
0.1001,0.2141,6.407564971,4.6291806456,10.1435503406,3.7941588391,0.0001,0.0001,0.5436330979,RAISE,RAISE,RAISE,,,,,,,,,
0.1201,0.2151,7.3810480774,3.7359853696,10.1435503406,0.2768336542,0.4001,0.3001,0.6316885859,RAISE,RAISE,RAISE,,,,,,,,,
0.1401,0.2161,7.5655906417,2.7625022632,10.1435503406,0.3951326008,0.8001,0.6001,0.7276592346,RAISE,RAISE,RAISE,,,,,,,,,
0.1601,0.2171,7.9401191688,2.5779596989,10.1435503406,0.5477346203,1.2001,0.9001,0.7458523286,RAISE,RAISE,RAISE,,,,,,,,,
0.1801,0.2181,8.7837227833,2.2034311718,10.1435503406,0.6160002557,1.6001,1.2001,0.7827751529,RAISE,RAISE,RAISE,,,,,,,,,
0.2001,0.2191,9.3625781286,1.3598275573,10.1435503406,0.7972768013,2.0001,1.5001,0.8659416564,RAISE,RAISE,RAISE,,,,,,,,,
0.2201,0.2201,9.3829717237,0.780972212,10.1435503406,1.3770243261,2.4001,1.8001,0.9230080016,RAISE,RAISE,RAISE,,,,,,,,,
0.2401,0.2211,10.0598650067,0.7605786169,10.1435503406,2.4028951554,2.8001,2.1001,0.9250185003,RAISE,RAISE,RAISE,,,,,,,,,
0.2601,0.2221,2.7556545023,0.0836853339,10.1435503406,2.6453189147,3.2001,2.4001,0.9917498971,HOLD,RAISE,HOLD,,,,,,,,,
0.2801,0.2221,2.9598711751,7.3878958383,10.1435503406,6.5857525439,3.2001,2.4001,0.2716656801,RAISE,RAISE,RAISE,,,,,,,,,
0.3001,0.2231,3.0115375141,7.1836791655,10.1435503406,0.0801275827,3.6001,2.7001,0.2917983424,RAISE,RAISE,RAISE,,,,,,,,,
0.3201,0.2241,3.7251988425,7.1320128265,10.1435503406,0.0838438757,4.0001,3.0001,0.2968918587,RAISE,HOLD,RAISE,,,,,,,,,
0.3201,0.2251,4.3558915036,6.4183514981,10.1435503406,0.1044641655,4.4001,3.3001,0.3672480263,RAISE,HOLD,RAISE,,,,,,,,,
0.3201,0.2261,4.8769638021,5.787658837,10.1435503406,0.1357324075,4.8001,3.6001,0.4294247435,RAISE,HOLD,RAISE,,,,,,,,,
0.3201,0.2271,5.5010379905,5.2665865385,10.1435503406,0.168529761,5.2001,3.9001,0.480794558,RAISE,HOLD,RAISE,,,,,,,,,
0.3201,0.2281,6.0681478873,4.6425123501,10.1435503406,0.2089033552,5.6001,4.2001,0.5423187943,RAISE,HOLD,RAISE,,,,,,,,,
0.3201,0.2291,6.9235875337,4.0754024533,10.1435503406,0.2614165534,6.0001,4.5001,0.5982272167,RAISE,HOLD,RAISE,,,,,,,,,
0.3201,0.2301,7.6408774604,3.2199628069,10.1435503406,0.3397744205,6.4001,4.8001,0.6825605731,RAISE,HOLD,RAISE,,,,,,,,,
0.3201,0.2311,7.8497289875,2.5026728802,10.1435503406,0.474594144,6.8001,5.1001,0.7532744654,RAISE,HOLD,RAISE,,,,,,,,,
0.3201,0.2321,8.2460003267,2.2938213531,10.1435503406,0.6273076317,7.2001,5.4001,0.7738640539,RAISE,HOLD,RAISE,,,,,,,,,
0.3201,0.2331,8.2489230784,1.8975500139,10.1435503406,0.7189749381,7.6001,5.7001,0.8129303892,RAISE,HOLD,RAISE,,,,,,,,,
0.3201,0.2341,9.1976188192,1.8946272622,10.1435503406,0.8694287916,8.0001,6.0001,0.8132185282,RAISE,HOLD,RAISE,,,,,,,,,
0.3201,0.2351,9.8693820951,0.9459315214,10.1435503406,0.970915916,8.4001,6.3001,0.9067455191,RAISE,HOLD,RAISE,,,,,,,,,
0.3201,0.2361,5.5653607814,0.2741682455,10.1435503406,2.0867011769,8.8001,6.6001,0.9729711751,RAISE,HOLD,STOP,,,,,,,,,
0.3201,0.2371,6.5025993662,4.5781895592,10.1435503406,4.0598142727,0.0001,0.0001,0.5486600445,RAISE,HOLD,RAISE,,,,,,,,,
0.3201,0.2381,6.7362497693,3.6409509744,10.1435503406,0.2840685945,0.4001,0.3001,0.6410575339,RAISE,HOLD,RAISE,,,,,,,,,
0.3201,0.2391,7.6543216408,3.4073005713,10.1435503406,0.3700269417,0.8001,0.6001,0.6640919149,RAISE,HOLD,RAISE,,,,,,,,,
0.3201,0.2401,8.3971183912,2.4892286998,10.1435503406,0.4492894877,1.2001,0.9001,0.7545998574,RAISE,HOLD,RAISE,,,,,,,,,
0.3201,0.2411,8.989669097,1.7464319493,10.1435503406,0.6746763278,1.6001,1.2001,0.8278283352,RAISE,HOLD,RAISE,,,,,,,,,
0.3201,0.2421,9.2193920164,1.1538812436,10.1435503406,1.0294897663,2.0001,1.5001,0.8862448349,RAISE,HOLD,RAISE,,,,,,,,,
0.3201,0.2431,9.2400972427,0.9241583242,10.1435503406,1.5979793531,2.4001,1.8001,0.9088920257,RAISE,HOLD,RAISE,,,,,,,,,
0.3201,0.2441,9.8034111017,0.9034530979,10.1435503406,1.9996784102,2.8001,2.1001,0.9109332465,RAISE,HOLD,RAISE,,,,,,,,,
0.3201,0.2451,9.9361336522,0.3401392389,10.1435503406,2.1702091949,3.2001,2.4001,0.9664674372,RAISE,HOLD,RAISE,,,,,,,,,
0.3201,0.2461,9.2499177813,0.2074166884,10.1435503406,5.8423918887,3.6001,2.7001,0.9795518648,RAISE,HOLD,STOP,,,,,,,,,
0.3201,0.2471,9.9144781618,0.8936325593,10.1435503406,8.9191644626,0.0001,0.0001,0.9119014024,RAISE,HOLD,RAISE,,,,,,,,,
0.3201,0.2481,6.0600190011,0.2290721788,10.1435503406,2.2189160542,0.4001,0.3001,0.9774169624,RAISE,RAISE,STOP,,,,,,,,,
0.3401,0.2491,6.4133387144,4.0835313395,10.1435503406,5.2909253614,0.0001,0.0001,0.5974258319,RAISE,RAISE,RAISE,,,,,,,,,
0.3601,0.2501,7.3429059106,3.7302116262,10.1435503406,0.3141074811,0.4001,0.3001,0.6322577893,RAISE,HOLD,RAISE,,,,,,,,,
0.3601,0.2511,8.1532061216,2.80064443,10.1435503406,0.3936991595,0.8001,0.6001,0.7238989963,RAISE,HOLD,RAISE,,,,,,,,,
0.3601,0.2521,9.147427841,1.990344219,10.1435503406,0.5822378617,1.2001,0.9001,0.80378229,RAISE,HOLD,RAISE,,,,,,,,,
0.3601,0.2531,9.8839030124,0.9961224996,10.1435503406,0.9191804868,1.6001,1.2001,0.901797451,RAISE,HOLD,RAISE,,,,,,,,,
0.3601,0.2541,2.5849056358,0.2596473282,10.1435503406,1.9844754066,2.0001,1.5001,0.9744027171,RAISE,HOLD,STOP,,,,,,,,,
0.3601,0.2551,3.3331179018,7.5586447048,10.1435503406,1.9910897248,0.0001,0.0001,0.2548324353,RAISE,HOLD,RAISE,,,,,,,,,
0.3601,0.2561,4.2747358321,6.8104324388,10.1435503406,0.0881935329,0.4001,0.3001,0.3285948006,RAISE,HOLD,RAISE,,,,,,,,,
0.3601,0.2571,4.4023592602,5.8688145084,10.1435503406,0.125534931,0.8001,0.6001,0.421424027,RAISE,HOLD,RAISE,,,,,,,,,
0.3601,0.2581,5.2038620768,5.7411910804,10.1435503406,0.1500255036,1.2001,0.9001,0.4340057586,RAISE,HOLD,RAISE,,,,,,,,,
0.3601,0.2591,5.3331614188,4.9396882638,10.1435503406,0.1812816192,1.6001,1.2001,0.5130217628,RAISE,HOLD,RAISE,,,,,,,,,
0.3601,0.2601,6.2337507362,4.8103889217,10.1435503406,0.2159310926,2.0001,1.5001,0.5257687141,RAISE,HOLD,RAISE,,,,,,,,,
0.3601,0.2611,6.2959020113,3.9097996044,10.1435503406,0.2591786584,2.4001,1.8001,0.6145531423,RAISE,HOLD,RAISE,,,,,,,,,
0.3601,0.2621,6.3056923211,3.8476483293,10.1435503406,0.3220575297,2.8001,2.1001,0.6206803141,RAISE,HOLD,RAISE,,,,,,,,,
0.3601,0.2631,6.3611721732,3.8378580195,10.1435503406,0.3277686411,3.2001,2.4001,0.6216454899,RAISE,HOLD,RAISE,,,,,,,,,
0.3601,0.2641,6.8057570466,3.7823781674,10.1435503406,0.3314959616,3.6001,2.7001,0.6271149607,RAISE,HOLD,RAISE,,,,,,,,,
0.3601,0.2651,7.0056467304,3.3377932939,10.1435503406,0.3598665573,4.0001,3.0001,0.6709442767,RAISE,HOLD,RAISE,,,,,,,,,
0.3601,0.2661,7.1890902971,3.1379036102,10.1435503406,0.419777147,4.4001,3.3001,0.6906503636,RAISE,HOLD,RAISE,,,,,,,,,
0.3601,0.2671,7.8316891724,2.9544600434,10.1435503406,0.4582097598,4.8001,3.6001,0.708735113,RAISE,HOLD,RAISE,,,,,,,,,
0.3601,0.2681,7.8465901159,2.3118611682,10.1435503406,0.5301604393,5.2001,3.9001,0.7720856021,RAISE,HOLD,RAISE,,,,,,,,,
0.3601,0.2691,8.0008916748,2.2969602247,10.1435503406,0.6788115328,5.6001,4.2001,0.7735546088,RAISE,HOLD,RAISE,,,,,,,,,
0.3601,0.2701,8.0394255271,2.1426586658,10.1435503406,0.6966504329,6.0001,4.5001,0.788766399,RAISE,HOLD,RAISE,,,,,,,,,
0.3601,0.2711,8.2277354096,2.1041248135,10.1435503406,0.750415888,6.4001,4.8001,0.7925652515,RAISE,HOLD,RAISE,,,,,,,,,
0.3601,0.2721,8.3157293637,1.915814931,10.1435503406,0.7820577332,6.8001,5.1001,0.8111297458,RAISE,HOLD,RAISE,,,,,,,,,
0.3601,0.2731,8.468050974,1.8278209769,10.1435503406,0.8681140573,7.2001,5.4001,0.8198046132,RAISE,HOLD,RAISE,,,,,,,,,
0.3601,0.2741,8.7041669564,1.6754993666,10.1435503406,0.926573344,7.6001,5.7001,0.8348212105,RAISE,HOLD,RAISE,,,,,,,,,
0.3601,0.2751,8.755122735,1.4393833842,10.1435503406,1.0389937627,8.0001,6.0001,0.8580986601,RAISE,HOLD,RAISE,,,,,,,,,
0.3601,0.2761,9.5405206997,1.3884276056,10.1435503406,1.216510185,8.4001,6.3001,0.863122126,RAISE,HOLD,RAISE,,,,,,,,,
0.3601,0.2771,9.5563852177,0.6030296408,10.1435503406,1.3742914158,8.8001,6.6001,0.9405504364,RAISE,HOLD,RAISE,,,,,,,,,
0.3601,0.2781,1.5093965724,0.5871651229,10.1435503406,3.1694578742,9.2001,6.9001,0.9421144369,RAISE,RAISE,RAISE,,,,,,,,,
0.3801,0.2791,1.9040475736,8.6341537682,10.1435503406,0.5141301871,9.6001,7.2001,0.1488035768,RAISE,RAISE,RAISE,,,,,,,,,
0.4001,0.2801,2.4850866559,8.239502767,10.1435503406,0.0441050189,10.0001,7.5001,0.1877101715,RAISE,HOLD,RAISE,,,,,,,,,
0.4001,0.2811,3.3550795566,7.6584636847,10.1435503406,0.0603212773,10.4001,7.8001,0.2449918,RAISE,HOLD,RAISE,,,,,,,,,
0.4001,0.2821,3.8904130615,6.788470784,10.1435503406,0.0876175613,10.8001,8.1001,0.3307598862,RAISE,HOLD,RAISE,,,,,,,,,
0.4001,0.2831,4.7824765316,6.2531372791,10.1435503406,0.1146182457,11.2001,8.4001,0.383535639,RAISE,HOLD,RAISE,,,,,,,,,
0.4001,0.2841,4.8259362118,5.361073809,10.1435503406,0.1529624673,11.6001,8.7001,0.4714795482,RAISE,HOLD,RAISE,,,,,,,,,
0.4001,0.2851,5.3331721101,5.3176141288,10.1435503406,0.1800361787,12.0001,9.0001,0.4757640126,RAISE,HOLD,RAISE,,,,,,,,,
0.4001,0.2861,5.5360295118,4.8103782305,10.1435503406,0.2005851489,12.4001,9.3001,0.5257697681,RAISE,HOLD,RAISE,,,,,,,,,
0.4001,0.2871,5.5823472193,4.6075208288,10.1435503406,0.230170238,12.8001,9.6001,0.5457684268,RAISE,HOLD,RAISE,,,,,,,,,
0.4001,0.2881,6.0378807384,4.5612031213,10.1435503406,0.2423145734,13.2001,9.9001,0.5503346493,RAISE,HOLD,RAISE,,,,,,,,,
0.4001,0.2891,6.2596181211,4.1056696022,10.1435503406,0.2647494785,13.6001,10.2001,0.5952433355,RAISE,HOLD,RAISE,,,,,,,,,
0.4001,0.2901,7.0109870661,3.8839322195,10.1435503406,0.3049255653,14.0001,10.5001,0.6171032736,RAISE,HOLD,RAISE,,,,,,,,,
0.4001,0.2911,7.7810883711,3.1325632745,10.1435503406,0.3610252018,14.4001,10.8001,0.6911768395,RAISE,HOLD,RAISE,,,,,,,,,
0.4001,0.2921,8.194966195,2.3624619695,10.1435503406,0.4967873073,14.8001,11.1001,0.7670971317,RAISE,HOLD,RAISE,,,,,,,,,
0.4001,0.2931,8.7929288881,1.9485841456,10.1435503406,0.6937649199,15.2001,11.4001,0.807899199,RAISE,HOLD,RAISE,,,,,,,,,
0.4001,0.2941,9.6262101829,1.3506214525,10.1435503406,0.9024941425,15.6001,11.7001,0.8668492385,RAISE,HOLD,RAISE,,,,,,,,,
0.4001,0.2951,0.0708942125,0.5173401577,10.1435503406,1.4254490279,16.0001,12.0001,0.948998118,RAISE,HOLD,RAISE,,,,,,,,,
0.4001,0.2961,0.6103663791,10.0726561281,10.1435503406,0.0274071948,16.4001,12.3001,0.0069890926,RAISE,HOLD,RAISE,,,,,,,,,
0.4001,0.2971,0.8762606484,9.5331839615,10.1435503406,0.0121192736,16.8001,12.6001,0.0601728545,RAISE,HOLD,RAISE,,,,,,,,,
0.4001,0.2981,1.667474129,9.2672896922,10.1435503406,0.0183833786,17.2001,12.9001,0.086385991,RAISE,HOLD,RAISE,,,,,,,,,
